"","Block.ccd","Hydrochloric.Acid","Acetic.Acid"
"C1.1","1",2,1
"C1.2","1",24,1
"C1.3","1",2,12
"C1.4","1",24,12
"C1.5","1",13,6.5
"C1.6","1",13,6.5
"C1.7","1",13,6.5
"C1.8","1",13,6.5
"C1.9","1",13,6.5
"S2.1","2",2,6.5
"S2.2","2",24,6.5
"S2.3","2",13,1
"S2.4","2",13,12
"S2.5","2",13,6.5
